Path object_type object_name object_size parant_directory
C:\Users\maksi\PycharmProjects Directory pythonDomashka_8_26.07.2023 680114737 PycharmProjects
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\ File Zadanie_2_3.py 4570 
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\.idea File workspace.xml 238 .idea
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv Directory Scripts 1406425 venv
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib Directory site-packages 84302505 Lib
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages Directory __pycache__ 4066 site-packages
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip File __pip-runner__.py 1444 pip
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_internal File __init__.py 573 _internal
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_internal\cli File __init__.py 132 cli
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_internal\commands File __init__.py 3882 commands
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_internal\distributions File __init__.py 858 distributions
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_internal\index File __init__.py 30 index
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_internal\locations File __init__.py 15365 locations
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_internal\metadata File __init__.py 4280 metadata
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_internal\metadata\importlib File __init__.py 107 importlib
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_internal\models File __init__.py 63 models
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_internal\network File __init__.py 50 network
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_internal\operations File __init__.py 0 operations
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_internal\operations\build File __init__.py 0 build
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_internal\operations\install File __init__.py 51 install
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_internal\req File __init__.py 2738 req
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_internal\resolution File __init__.py 0 resolution
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_internal\resolution\legacy File __init__.py 0 legacy
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_internal\resolution\resolvelib File __init__.py 0 resolvelib
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_internal\utils File __init__.py 0 utils
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_internal\vcs File __init__.py 596 vcs
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor File __init__.py 4966 _vendor
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\cachecontrol File __init__.py 465 cachecontrol
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\cachecontrol\caches File __init__.py 242 caches
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\certifi File __main__.py 255 certifi
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\chardet File __init__.py 4797 chardet
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\chardet\cli File __init__.py 0 cli
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\chardet\metadata File __init__.py 0 metadata
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\colorama File __init__.py 266 colorama
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\colorama\tests File __init__.py 75 tests
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\distlib File __init__.py 581 distlib
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\distro File __main__.py 64 distro
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\idna File __init__.py 849 idna
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\msgpack File __init__.py 1132 msgpack
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\packaging File __init__.py 497 packaging
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\pkg_resources File __init__.py 109388 pkg_resources
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\platformdirs File __main__.py 1198 platformdirs
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\pygments File __main__.py 353 pygments
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\pygments\filters File __init__.py 40386 filters
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\pygments\formatters File __init__.py 4800 formatters
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\pygments\lexers File __init__.py 11164 lexers
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\pygments\styles File __init__.py 3419 styles
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\pyparsing File __init__.py 9171 pyparsing
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\pyparsing\diagram File __init__.py 23685 diagram
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\pyproject_hooks File __init__.py 491 pyproject_hooks
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\pyproject_hooks\_in_process File __init__.py 546 _in_process
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\requests File __version__.py 435 requests
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\resolvelib File __init__.py 537 resolvelib
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\resolvelib\compat File __init__.py 0 compat
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\rich File __main__.py 8478 rich
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\tenacity File __init__.py 20493 tenacity
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\tomli File __init__.py 396 tomli
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\urllib3 File __init__.py 3333 urllib3
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\urllib3\contrib File __init__.py 0 contrib
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport File __init__.py 0 _securetransport
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\urllib3\packages File __init__.py 0 packages
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\urllib3\packages\backports File __init__.py 0 backports
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\urllib3\util File __init__.py 1155 util
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip\_vendor\webencodings File __init__.py 10579 webencodings
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pip-23.1.2.dist-info File WHEEL 92 pip-23.1.2.dist-info
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pkg_resources Directory __pycache__ 101118 pkg_resources
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pkg_resources\extern Directory __pycache__ 2955 extern
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pkg_resources\extern\__pycache__ File __init__.cpython-310.pyc 2955 __pycache__
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pkg_resources\_vendor Directory __pycache__ 208 _vendor
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pkg_resources\_vendor\importlib_resources File __init__.py 506 importlib_resources
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pkg_resources\_vendor\jaraco Directory __pycache__ 25975 jaraco
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pkg_resources\_vendor\jaraco\text Directory __pycache__ 19684 text
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pkg_resources\_vendor\jaraco\text\__pycache__ File __init__.cpython-310.pyc 19684 __pycache__
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pkg_resources\_vendor\jaraco\__pycache__ File __init__.cpython-310.pyc 215 __pycache__
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pkg_resources\_vendor\more_itertools Directory __pycache__ 152782 more_itertools
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pkg_resources\_vendor\more_itertools\__pycache__ File __init__.cpython-310.pyc 364 __pycache__
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pkg_resources\_vendor\packaging Directory __pycache__ 101244 packaging
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pkg_resources\_vendor\packaging\__pycache__ File __init__.cpython-310.pyc 553 __pycache__
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pkg_resources\_vendor\platformdirs Directory __pycache__ 22580 platformdirs
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pkg_resources\_vendor\platformdirs\__pycache__ File __init__.cpython-310.pyc 10503 __pycache__
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pkg_resources\_vendor\__pycache__ File __init__.cpython-310.pyc 208 __pycache__
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\pkg_resources\__pycache__ File __init__.cpython-310.pyc 101118 __pycache__
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\setuptools File __init__.py 9257 setuptools
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\setuptools\command File __init__.py 396 command
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\setuptools\config File __init__.py 1498 config
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\setuptools\config\_validate_pyproject File __init__.py 1038 _validate_pyproject
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\setuptools\extern File __init__.py 2527 extern
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\setuptools\_distutils File __init__.py 359 _distutils
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\setuptools\_distutils\command File __init__.py 430 command
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\setuptools\_vendor File __init__.py 0 _vendor
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\setuptools\_vendor\importlib_metadata File __init__.py 26498 importlib_metadata
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\setuptools\_vendor\importlib_resources File __init__.py 506 importlib_resources
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\setuptools\_vendor\jaraco File __init__.py 0 jaraco
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\setuptools\_vendor\jaraco\text File __init__.py 15517 text
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\setuptools\_vendor\more_itertools File __init__.py 82 more_itertools
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\setuptools\_vendor\packaging File __init__.py 501 packaging
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\setuptools\_vendor\tomli File __init__.py 396 tomli
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\setuptools-68.0.0.dist-info File WHEEL 92 setuptools-68.0.0.dist-info
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\wheel File __main__.py 455 wheel
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\wheel\cli File __init__.py 3932 cli
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\wheel\vendored File __init__.py 0 vendored
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\wheel\vendored\packaging File __init__.py 0 packaging
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\wheel-0.40.0.dist-info File WHEEL 81 wheel-0.40.0.dist-info
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\_distutils_hack Directory __pycache__ 7680 _distutils_hack
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\_distutils_hack\__pycache__ File __init__.cpython-310.pyc 7680 __pycache__
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Lib\site-packages\__pycache__ File _virtualenv.cpython-310.pyc 4066 __pycache__
\Users\maksi\PycharmProjects\pythonDomashka_8_26.07.2023\venv\Scripts File wheel3.exe 108428 Scripts
